Date,Match,Result,Score,Competition
25 Jun 2010,Portugal v Brazil,D,0-0,FIFA World Cup
28 Jun 2010,Brazil v Chile,W,3-0,FIFA World Cup
02 Jul 2010,Netherlands v Brazil,L,2-1,FIFA World Cup
10 Aug 2010,USA v Brazil,W,0-2,International Friendly
07 Oct 2010,Iran v Brazil,W,0-3,International Friendly
11 Oct 2010,Brazil v Ukraine,W,2-0,International Friendly
17 Nov 2010,Argentina v Brazil,L,1-0,International Friendly
09 Feb 2011,France v Brazil,L,1-0,International Friendly
27 Mar 2011,Scotland v Brazil,W,0-2,International Friendly
04 Jun 2011,Brazil v Netherlands,D,0-0,International Friendly
07 Jun 2011,Brazil v Romania,W,1-0,International Friendly
03 Jul 2011,Brazil v Venezuela,D,0-0,Copa America
09 Jul 2011,Brazil v Paraguay,D,2-2,Copa America
13 Jul 2011,Brazil v Ecuador,W,4-2,Copa America
17 Jul 2011,Brazil v Paraguay,L,0-0 (0-2),Copa America
10 Aug 2011,Germany v Brazil,L,3-2,International Friendly
05 Sep 2011,Brazil v Ghana,W,1-0,International Friendly
14 Sep 2011,Argentina v Brazil,D,0-0,Superclasico de las Americas
28 Sep 2011,Brazil v Argentina,W,2-0Agg: 2-0,Superclasico de las Americas
07 Oct 2011,Costa Rica v Brazil,W,0-1,International Friendly
11 Oct 2011,Mexico v Brazil,W,1-2,International Friendly
10 Nov 2011,Gabon v Brazil,W,0-2,International Friendly
14 Nov 2011,Brazil v Egypt,W,2-0,International Friendly
28 Feb 2012,Bosnia and Herzegovina v Brazil,W,1-2,International Friendly
26 May 2012,Denmark v Brazil,W,1-3,International Friendly
30 May 2012,USA v Brazil,W,1-4,International Friendly
03 Jun 2012,Brazil v Mexico,L,0-2,International Friendly
09 Jun 2012,Argentina v Brazil,L,4-3,International Friendly
15 Aug 2012,Sweden v Brazil,W,0-3,International Friendly
07 Sep 2012,Brazil v South Africa,W,1-0,International Friendly
10 Sep 2012,Brazil v China PR,W,8-0,International Friendly
20 Sep 2012,Brazil v Argentina,W,2-1,Superclasico de las Americas
11 Oct 2012,Brazil v Iraq,W,6-0,International Friendly
16 Oct 2012,Brazil v Japan,W,4-0,International Friendly
14 Nov 2012,Brazil v Colombia,D,1-1,International Friendly
21 Nov 2012,Argentina v Brazil,L,2-1Agg: 3-3 (3-4),Superclasico de las Americas
06 Feb 2013,England v Brazil,L,2-1,International Friendly
21 Mar 2013,Brazil v Italy,D,2-2,International Friendly
25 Mar 2013,Brazil v Russia,D,1-1,International Friendly
06 Apr 2013,Bolivia v Brazil,W,0-4,International Friendly
24 Apr 2013,Brazil v Chile,D,2-2,International Friendly
02 Jun 2013,Brazil v England,D,2-2,International Friendly
09 Jun 2013,Brazil v France,W,3-0,International Friendly
15 Jun 2013,Brazil v Japan,W,3-0,FIFA Confederations Cup
19 Jun 2013,Brazil v Mexico,W,2-0,FIFA Confederations Cup
22 Jun 2013,Italy v Brazil,W,2-4,FIFA Confederations Cup
26 Jun 2013,Brazil v Uruguay,W,2-1,FIFA Confederations Cup
30 Jun 2013,Brazil v Spain,W,3-0,FIFA Confederations Cup
14 Aug 2013,Switzerland v Brazil,L,1-0,International Friendly
07 Sep 2013,Brazil v Australia,W,6-0,International Friendly
10 Sep 2013,Brazil v Portugal,W,3-1,International Friendly
12 Oct 2013,Korea Republic v Brazil,W,0-2,International Friendly
15 Oct 2013,Brazil v Zambia,W,2-0,International Friendly
16 Nov 2013,Honduras v Brazil,W,0-5,International Friendly
19 Nov 2013,Brazil v Chile,W,2-1,International Friendly
05 Mar 2014,South Africa v Brazil,W,0-5,International Friendly
03 Jun 2014,Brazil v Panama,W,4-0,International Friendly
06 Jun 2014,Brazil v Serbia,W,1-0,International Friendly
12 Jun 2014,Brazil v Croatia,W,3-1,FIFA World Cup
17 Jun 2014,Brazil v Mexico,D,0-0,FIFA World Cup
23 Jun 2014,Cameroon v Brazil,W,1-4,FIFA World Cup
28 Jun 2014,Brazil v Chile,W,1-1 (3-2),FIFA World Cup
04 Jul 2014,Brazil v Colombia,W,2-1,FIFA World Cup
08 Jul 2014,Germany v Brazil,L,7-1,FIFA World Cup
12 Jul 2014,Brazil v Netherlands,L,0-3,FIFA World Cup
05 Sep 2014,Brazil v Colombia,W,1-0,International Friendly
09 Sep 2014,Brazil v Ecuador,W,1-0,International Friendly
11 Oct 2014,Brazil v Argentina,W,2-0,Superclasico de las Americas
14 Oct 2014,Japan v Brazil,W,0-4,International Friendly
12 Nov 2014,Turkey v Brazil,W,0-4,International Friendly
18 Nov 2014,Austria v Brazil,W,1-2,International Friendly
26 Mar 2015,France v Brazil,W,1-3,International Friendly
29 Mar 2015,Brazil v Chile,W,1-0,International Friendly
07 Jun 2015,Brazil v Mexico,W,2-0,International Friendly
10 Jun 2015,Brazil v Honduras,W,1-0,International Friendly
14 Jun 2015,Brazil v Peru,W,2-1,Copa America
17 Jun 2015,Brazil v Colombia,L,0-1,Copa America
21 Jun 2015,Brazil v Venezuela,W,2-1,Copa America
27 Jun 2015,Brazil v Paraguay,L,1-1 (3-4),Copa America
05 Sep 2015,Costa Rica v Brazil,W,0-1,International Friendly
08 Sep 2015,USA v Brazil,W,1-4,International Friendly
08 Oct 2015,Chile v Brazil,L,2-0,FIFA World Cup
13 Oct 2015,Brazil v Venezuela,W,3-1,FIFA World Cup
13 Nov 2015,Argentina v Brazil,D,1-1,FIFA World Cup
17 Nov 2015,Brazil v Peru,W,3-0,FIFA World Cup
25 Mar 2016,Brazil v Uruguay,D,2-2,FIFA World Cup
29 Mar 2016,Paraguay v Brazil,D,2-2,FIFA World Cup
30 May 2016,Panama v Brazil,W,0-2,International Friendly
04 Jun 2016,Brazil v Ecuador,D,0-0,Copa America
08 Jun 2016,Brazil v Haiti,W,7-1,Copa America
12 Jun 2016,Peru v Brazil,L,1-0,Copa America
01 Sep 2016,Ecuador v Brazil,W,0-3,FIFA World Cup
06 Sep 2016,Brazil v Colombia,W,2-1,FIFA World Cup
07 Oct 2016,Brazil v Bolivia,W,5-0,FIFA World Cup
11 Oct 2016,Venezuela v Brazil,W,0-2,FIFA World Cup
10 Nov 2016,Brazil v Argentina,W,3-0,FIFA World Cup
15 Nov 2016,Peru v Brazil,W,0-2,FIFA World Cup
26 Jan 2017,Brazil v Colombia,W,1-0,International Friendly
24 Mar 2017,Uruguay v Brazil,W,1-4,FIFA World Cup
28 Mar 2017,Brazil v Paraguay,W,3-0,FIFA World Cup
09 Jun 2017,Brazil v Argentina,L,0-1,Superclasico de las Americas
13 Jun 2017,Australia v Brazil,W,0-4,International Friendly
31 Aug 2017,Brazil v Ecuador,W,2-0,FIFA World Cup
05 Sep 2017,Colombia v Brazil,D,1-1,FIFA World Cup
05 Oct 2017,Bolivia v Brazil,D,0-0,FIFA World Cup
10 Oct 2017,Brazil v Chile,W,3-0,FIFA World Cup
10 Nov 2017,Japan v Brazil,W,1-3,International Friendly
14 Nov 2017,England v Brazil,D,0-0,International Friendly
23 Mar 2018,Russia v Brazil,W,0-3,International Friendly
27 Mar 2018,Germany v Brazil,W,0-1,International Friendly
03 Jun 2018,Brazil v Croatia,W,2-0,International Friendly
10 Jun 2018,Austria v Brazil,W,0-3,International Friendly
17 Jun 2018,Brazil v Switzerland,D,1-1,FIFA World Cup
22 Jun 2018,Brazil v Costa Rica,W,2-0,FIFA World Cup
27 Jun 2018,Serbia v Brazil,W,0-2,FIFA World Cup
02 Jul 2018,Brazil v Mexico,W,2-0,FIFA World Cup
06 Jul 2018,Brazil v Belgium,L,1-2,FIFA World Cup
07 Sep 2018,USA v Brazil,W,0-2,International Friendly
12 Sep 2018,Brazil v El Salvador,W,5-0,International Friendly
12 Oct 2018,Saudi Arabia v Brazil,W,0-2,International Friendly
16 Oct 2018,Argentina v Brazil,W,0-1,Superclasico de las Americas
16 Nov 2018,Brazil v Uruguay,W,1-0,International Friendly
20 Nov 2018,Brazil v Cameroon,W,1-0,International Friendly
23 Mar 2019,Brazil v Panama,D,1-1,International Friendly
26 Mar 2019,Czech Republic v Brazil,W,1-3,International Friendly
05 Jun 2019,Brazil v Qatar,W,2-0,International Friendly
09 Jun 2019,Brazil v Honduras,W,7-0,International Friendly
14 Jun 2019,Brazil v Bolivia,W,3-0,Copa America
18 Jun 2019,Brazil v Venezuela,D,0-0,Copa America
22 Jun 2019,Peru v Brazil,W,0-5,Copa America
27 Jun 2019,Brazil v Paraguay,W,0-0 (4-3),Copa America
02 Jul 2019,Brazil v Argentina,W,2-0,Copa America
07 Jul 2019,Brazil v Peru,W,3-1,Copa America
06 Sep 2019,Brazil v Colombia,D,2-2,International Friendly
10 Sep 2019,Brazil v Peru,L,0-1,International Friendly
10 Oct 2019,Brazil v Senegal,D,1-1,International Friendly
13 Oct 2019,Brazil v Nigeria,D,1-1,International Friendly
15 Nov 2019,Brazil v Argentina,L,0-1,Superclasico de las Americas
19 Nov 2019,Brazil v Korea Republic,W,3-0,International Friendly
09 Oct 2020,Brazil v Bolivia,W,5-0,FIFA World Cup
13 Oct 2020,Peru v Brazil,W,2-4,FIFA World Cup
13 Nov 2020,Brazil v Venezuela,W,1-0,FIFA World Cup
17 Nov 2020,Uruguay v Brazil,W,0-2,FIFA World Cup
04 Jun 2021,Brazil v Ecuador,W,2-0,FIFA World Cup
08 Jun 2021,Paraguay v Brazil,W,0-2,FIFA World Cup
13 Jun 2021,Brazil v Venezuela,W,3-0,Copa America
17 Jun 2021,Brazil v Peru,W,4-0,Copa America
23 Jun 2021,Brazil v Colombia,W,2-1,Copa America
27 Jun 2021,Brazil v Ecuador,D,1-1,Copa America
02 Jul 2021,Brazil v Chile,W,1-0,Copa America
05 Jul 2021,Brazil v Peru,W,1-0,Copa America
10 Jul 2021,Brazil v Argentina,L,0-1,Copa America
02 Sep 2021,Chile v Brazil,W,0-1,FIFA World Cup
05 Sep 2021,Brazil v Argentina,FIFA World Cup,,
09 Sep 2021,Brazil v Peru,W,2-0,FIFA World Cup
07 Oct 2021,Venezuela v Brazil,W,1-3,FIFA World Cup
10 Oct 2021,Colombia v Brazil,D,0-0,FIFA World Cup
14 Oct 2021,Brazil v Uruguay,W,4-1,FIFA World Cup
11 Nov 2021,Brazil v Colombia,W,1-0,FIFA World Cup
16 Nov 2021,Argentina v Brazil,D,0-0,FIFA World Cup
27 Jan 2022,Ecuador v Brazil,D,1-1,FIFA World Cup
01 Feb 2022,Brazil v Paraguay,W,4-0,FIFA World Cup
24 Mar 2022,Brazil v Chile,W,4-0,FIFA World Cup
29 Mar 2022,Bolivia v Brazil,W,0-4,FIFA World Cup
02 Jun 2022,Korea Republic v Brazil,W,1-5,International Friendly
06 Jun 2022,Japan v Brazil,W,0-1,Kirin Challenge Cup
23 Sep 2022,Brazil v Ghana,W,3-0,International Friendly
27 Sep 2022,Brazil v Tunisia,W,5-1,International Friendly
24 Nov 2022,Brazil v Serbia,W,2-0,FIFA World Cup
28 Nov 2022,Brazil v Switzerland,W,1-0,FIFA World Cup
02 Dec 2022,Cameroon v Brazil,L,1-0,FIFA World Cup
05 Dec 2022,Brazil v Korea Republic,W,4-1,FIFA World Cup
09 Dec 2022,Croatia v Brazil,L,1-1 (4-2),FIFA World Cup
